compartments,abundance,growth_rate,reactions,metabolites,tradeoff
1080,0.037037037037037035,0.00010021492079502482,2192,1433,1.0
1101,0.037037037037037035,6.7132212982537,2883,1858,1.0
1114,0.037037037037037035,0.2915606167330549,2032,1417,1.0
1174,0.037037037037037035,4.754293542052132,2696,1791,1.0
1208,0.037037037037037035,0.9521808090504368,2635,1734,1.0
1234,0.037037037037037035,14.773609010362245,2805,1837,1.0
1252,0.037037037037037035,4.255262526489816,2312,1577,1.0
1334,0.037037037037037035,3.8651157395017712,2543,1658,1.0
1338,0.037037037037037035,14.50009837878566,2268,1507,1.0
1350,0.037037037037037035,2.011007113262666,2234,1532,1.0
1357,0.037037037037037035,6.996223840971432,2506,1629,1.0
1362,0.037037037037037035,14.539903204845356,2351,1575,1.0
262,0.037037037037037035,12.6849233447322,2236,1488,1.0
2751,0.037037037037037035,4.140818747497637e-09,2356,1527,1.0
397,0.037037037037037035,6.404770960245342,2866,1871,1.0
428,0.037037037037037035,6.941471753542143,2744,1785,1.0
459,0.037037037037037035,6.241333534463564,3028,1970,1.0
638,0.037037037037037035,11.198602682358286,2269,1566,1.0
709,0.037037037037037035,5.029770730555973e-09,2186,1418,1.0
790,0.037037037037037035,5.616787690181206,2671,1715,1.0
796,0.037037037037037035,7.096478443450879,2725,1866,1.0
892,0.037037037037037035,16.07366818845456,2920,1878,1.0
895,0.037037037037037035,4.333731425201755,2258,1557,1.0
939,0.037037037037037035,9.238316278007598,2424,1617,1.0
947,0.037037037037037035,5.92128778274439,2301,1599,1.0
978,0.037037037037037035,3.1480076291505337,2251,1532,1.0
997,0.037037037037037035,5.250708404077532,2872,1879,1.0
