contig_1	iJN1463.PP_2375	59.4	1299	455	9	218830	222702	1	1234	0.0	1458
contig_1	iJN1463.PP_5387	72.4	1038	285	1	817211	814104	1	1038	0.0	1456
contig_1	iYL1228.KPN_04399	58.5	1288	466	9	218848	222702	4	1225	0.0	1439
contig_1	iJN1463.PP_3426	69.1	1059	325	2	3398830	3395657	1	1058	0.0	1422
contig_1	iCN718.ABAYE_RS14075	56.4	1285	493	9	218851	222696	4	1224	0.0	1414
contig_1	iML1515.b0575	67.4	1046	334	3	817211	814095	1	1046	0.0	1387
contig_1	iYL1228.KPN_04736	67.3	1044	336	2	817211	814095	1	1044	0.0	1385
contig_1	iSSON_1240.SSON_0526	67.4	1046	334	3	817211	814095	1	1046	0.0	1384
contig_1	iSF_1195.SF0481	67.4	1046	334	3	817211	814095	1	1046	0.0	1384
contig_1	iAF692.Mbar_A3345	56.0	1257	489	7	2461181	2457591	3	1255	0.0	1377
contig_1	iEK1008.Rv0266c	59.1	1207	471	7	2461169	2457588	5	1201	0.0	1366
contig_1	STM_v1_0.STM3391	66.0	1036	350	2	4789862	4786761	1	1036	0.0	1318
