EX_2hg_e,0.1
EX_2kgnd_e,10.0
EX_4abut_e,10.0
EX_5htrp_e,10.0
EX_acon_C_e,0.1
EX_ala__L_e,10.0
EX_asp__L_e,10.0
EX_ca2_e,1000.0
EX_campst_e,500.0
EX_cit_e,10.0
EX_cl_e,1000.0
EX_cobalt2_e,1000.0
EX_cu2_e,1000.0
EX_ergst_e,10.0
EX_fe2_e,1000.0
EX_fe3_e,1000.0
EX_fru_e,10.0
EX_fum_e,10.0
EX_glc__D_e,10.0
EX_gltar_e,10.0
EX_glu__L_e,10.0
EX_gly_e,10.0
EX_glyc_e,10.0
EX_glycrt_e,10.0
EX_h_e,1000.0
EX_h2o_e,1000.0
EX_ile__L_e,10.0
EX_k_e,1000.0
EX_leu__L_e,10.0
EX_mal__L_e,10.0
EX_male_e,0.1
EX_malt_e,10.0
EX_mg2_e,1000.0
EX_mi_oind_e,10.0
EX_mn2_e,1000.0
EX_mobd_e,1000.0
EX_na1_e,1000.0
EX_nh4_e,1000.0
EX_ni2_e,1000.0
EX_o2_e,1000.0
EX_oph_e,10.0
EX_pi_e,1000.0
EX_pro__L_e,0.1
EX_quin_e,10.0
EX_raff_e,0.1
EX_ribn_e,0.1
EX_ser__L_e,10.0
EX_sitost_e,500.0
EX_skm_e,0.1
EX_so4_e,1000.0
EX_stigmast_e,1000.0
EX_succ_e,10.0
EX_sucr_e,0.1
EX_thr__L_e,0.1
EX_threone_e,0.1
EX_tym_e,10.0
EX_val__L_e,10.0
EX_zn2_e,1000.0
